NumberType: GTIN-13,,,,,,,,
Prefix: 506112295,,,,,,,,
,,,,,,,,
Number,Status,Description,Main Brand,Sub Brand,Product Link,MPN,SKU,Updated
"=""5061122950524""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122950531""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122950548""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122950555""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122950562""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122950579""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122950586""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122950593""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122950609""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122950616""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122950623""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122950630""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122950647""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122950654""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122950661""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122950678""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122950685""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122950692""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122950708""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122950715""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122950722""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122950739""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122950746""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122950753""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122950760""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122950777""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122950784""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122950791""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122950807""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122950814""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122950821""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122950838""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122950845""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122950852""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122950869""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122950876""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122950883""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122950890""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122950906""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122950913""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122950920""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122950937""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122950944""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122950951""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122950968""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122950975""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122950982""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122950999""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122951002""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122951019""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122951026""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122951033""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122951040""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122951057""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122951064""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122951071""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122951088""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122951095""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122951101""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122951118""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122951125""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122951132""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122951149""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122951156""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122951163""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122951170""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122951187""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122951194""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122951200""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122951217""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122951224""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122951231""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122951248""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122951255""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122951262""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122951279""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122951286""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122951293""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122951309""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122951316""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122951323""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122951330""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122951347""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122951354""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122951361""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122951378""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122951385""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122951392""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122951408""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122951415""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122951422""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122951439""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122951446""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122951453""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122951460""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122951477""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122951484""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122951491""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122951507""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122951514""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122951521""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122951538""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122951545""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122951552""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122951569""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122951576""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122951583""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122951590""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122951606""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122951613""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122951620""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122951637""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122951644""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122951651""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122951668""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122951675""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122951682""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122951699""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122951705""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122951712""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122951729""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122951736""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122951743""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122951750""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122951767""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122951774""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122951781""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122951798""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122951804""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122951811""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122951828""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122951835""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122951842""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122951859""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122951866""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122951873""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122951880""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122951897""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122951903""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122951910""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122951927""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122951934""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122951941""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122951958""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122951965""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122951972""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122951989""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122951996""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122952009""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122952016""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122952023""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122952030""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122952047""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122952054""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122952061""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122952078""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122952085""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122952092""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122952108""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122952115""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122952122""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122952139""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122952146""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122952153""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122952160""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122952177""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122952184""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122952191""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122952207""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122952214""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122952221""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122952238""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122952245""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122952252""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122952269""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122952276""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122952283""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122952290""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122952306""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122952313""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122952320""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122952337""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122952344""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122952351""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122952368""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122952375""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122952382""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122952399""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122952405""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122952412""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122952429""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122952436""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122952443""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122952450""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122952467""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122952474""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122952481""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122952498""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122952504""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122952511""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122952528""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122952535""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122952542""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122952559""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122952566""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122952573""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122952580""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122952597""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122952603""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122952610""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122952627""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122952634""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122952641""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122952658""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122952665""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122952672""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122952689""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122952696""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122952702""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122952719""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122952726""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122952733""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122952740""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122952757""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122952764""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122952771""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122952788""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122952795""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122952801""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122952818""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122952825""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122952832""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122952849""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122952856""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122952863""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122952870""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122952887""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122952894""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122952900""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122952917""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122952924""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122952931""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122952948""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122952955""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122952962""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122952979""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122952986""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122952993""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122953006""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122953013""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122953020""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122953037""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122953044""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122953051""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122953068""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122953075""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122953082""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122953099""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122953105""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122953112""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122953129""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122953136""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122953143""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122953150""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122953167""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122953174""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122953181""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122953198""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122953204""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122953211""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122953228""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122953235""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122953242""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122953259""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122953266""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122953273""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122953280""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122953297""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122953303""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122953310""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122953327""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122953334""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122953341""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122953358""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122953365""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122953372""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122953389""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122953396""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122953402""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122953419""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122953426""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122953433""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122953440""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122953457""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122953464""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122953471""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122953488""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122953495""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122953501""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122953518""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122953525""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122953532""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122953549""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122953556""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122953563""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122953570""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122953587""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122953594""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122953600""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122953617""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122953624""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122953631""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122953648""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122953655""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122953662""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122953679""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122953686""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122953693""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122953709""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122953716""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122953723""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122953730""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122953747""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122953754""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122953761""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122953778""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122953785""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122953792""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122953808""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122953815""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122953822""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122953839""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122953846""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122953853""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122953860""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122953877""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122953884""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122953891""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122953907""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122953914""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122953921""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122953938""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122953945""",,,,,,,,"=""21/03/2026 11:16:56"""
